distCode,distName,officeCode,officeName,shopNo,month,year,noOfRcs,noOfTrans,riceAfsc,riceFsc,riceAap,wheat,sugar,rgdal,kerosene,totalAmount,salt,otherShopTransCnt
532,Adilabad,532005,Bela,1905021,11,2024,524,525,1295.0,9402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
532,Adilabad,532005,Bela,1905022,11,2024,358,358,1050.0,6180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532005,Bela,1905023,11,2024,333,333,2555.0,5274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532005,Bela,1905024,11,2024,1011,1011,3694.0,21312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
532,Adilabad,532005,Bela,1905025,11,2024,308,308,700.0,6636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532005,Bela,1905026,11,2024,565,565,1225.0,10668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272
532,Adilabad,532006,Narnoor,1906001,11,2024,851,851,3675.0,16077.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,82
532,Adilabad,532006,Narnoor,1906002,11,2024,400,400,2100.0,7375.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,54
532,Adilabad,532006,Narnoor,1906003,11,2024,434,434,1290.0,9246.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16
532,Adilabad,532006,Narnoor,1906004,11,2024,283,283,2100.0,5196.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8
532,Adilabad,532006,Narnoor,1906005,11,2024,491,491,2240.0,9876.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,74
532,Adilabad,532006,Narnoor,1906006,11,2024,670,670,3675.0,12161.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,49
532,Adilabad,532006,Narnoor,1906007,11,2024,838,838,1610.0,17167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257
532,Adilabad,532006,Narnoor,1906008,11,2024,304,304,1015.0,6522.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,166
532,Adilabad,532006,Narnoor,1906009,11,2024,510,512,2625.0,9642.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,40
532,Adilabad,532006,Narnoor,1906011,11,2024,440,440,4358.0,7116.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,12
532,Adilabad,532006,Narnoor,1906012,11,2024,282,282,595.0,6042.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9
532,Adilabad,532006,Narnoor,1906016,11,2024,305,305,1575.0,6144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
532,Adilabad,532006,Narnoor,1906022,11,2024,435,435,1050.0,8526.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0
532,Adilabad,532006,Narnoor,1906023,11,2024,413,418,420.0,8736.0,20.0,0.0,4.0,0.0,0.0,54.0,0.0,27
532,Adilabad,532007,Indravelly,1907001,11,2024,1389,1391,4795.0,27312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367
532,Adilabad,532007,Indravelly,1907002,11,2024,873,874,1575.0,17682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351
532,Adilabad,532007,Indravelly,1907003,11,2024,815,816,5845.0,14364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276
532,Adilabad,532007,Indravelly,1907004,11,2024,749,749,3390.0,14340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
532,Adilabad,532007,Indravelly,1907005,11,2024,377,377,1715.0,7284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
532,Adilabad,532007,Indravelly,1907006,11,2024,523,523,2415.0,10232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372
532,Adilabad,532007,Indravelly,1907007,11,2024,631,631,3530.0,11790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411
532,Adilabad,532007,Indravelly,1907008,11,2024,265,265,980.0,4950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
532,Adilabad,532007,Indravelly,1907009,11,2024,265,265,1085.0,5262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
532,Adilabad,532007,Indravelly,1907010,11,2024,811,811,3384.0,16320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
532,Adilabad,532007,Indravelly,1907014,11,2024,574,574,5075.0,9300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
532,Adilabad,532007,Indravelly,1907015,11,2024,405,405,1505.0,7790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
532,Adilabad,532007,Indravelly,1907016,11,2024,702,703,1925.0,15030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
532,Adilabad,532007,Indravelly,1907017,11,2024,405,405,1820.0,8214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
532,Adilabad,532007,Indravelly,1907018,11,2024,390,390,2695.0,6852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
532,Adilabad,532007,Indravelly,1907102,11,2024,133,133,490.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
532,Adilabad,532008,Gudihathnur,1908001,11,2024,1281,1309,3500.0,25032.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,258
532,Adilabad,532008,Gudihathnur,1908002,11,2024,1084,1085,2617.0,20955.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,345
532,Adilabad,532008,Gudihathnur,1908003,11,2024,630,632,1365.0,12414.0,10.0,0.0,39.0,0.0,0.0,526.5,0.0,84
532,Adilabad,532008,Gudihathnur,1908004,11,2024,476,479,1085.0,9504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
532,Adilabad,532008,Gudihathnur,1908005,11,2024,574,577,2380.0,10583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
532,Adilabad,532008,Gudihathnur,1908006,11,2024,436,453,2695.0,7164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
532,Adilabad,532008,Gudihathnur,1908007,11,2024,506,506,1260.0,9636.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,27
532,Adilabad,532008,Gudihathnur,1908008,11,2024,543,544,1750.0,10026.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,261
532,Adilabad,532008,Gudihathnur,1908009,11,2024,603,605,2100.0,11060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310
532,Adilabad,532008,Gudihathnur,1908010,11,2024,472,472,1925.0,8940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
532,Adilabad,532008,Gudihathnur,1908011,11,2024,716,716,945.0,14550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298
532,Adilabad,532008,Gudihathnur,1908012,11,2024,269,269,770.0,5598.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,16
532,Adilabad,532009,Ichoda,1909001,11,2024,700,700,5040.0,12309.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,346
532,Adilabad,532009,Ichoda,1909002,11,2024,812,812,2645.0,15292.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,452
532,Adilabad,532009,Ichoda,1909003,11,2024,944,944,1750.0,19854.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,612
532,Adilabad,532009,Ichoda,1909004,11,2024,667,667,1505.0,13464.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,417
532,Adilabad,532009,Ichoda,1909005,11,2024,660,660,1435.0,11172.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,33
532,Adilabad,532009,Ichoda,1909006,11,2024,254,254,525.0,5514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532009,Ichoda,1909007,11,2024,544,545,1050.0,10818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
532,Adilabad,532009,Ichoda,1909008,11,2024,578,578,1540.0,11076.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,93
532,Adilabad,532009,Ichoda,1909009,11,2024,696,696,1330.0,13176.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,130
532,Adilabad,532009,Ichoda,1909010,11,2024,870,870,1855.0,16844.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,50
532,Adilabad,532009,Ichoda,1909013,11,2024,359,359,770.0,6648.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,58
532,Adilabad,532009,Ichoda,1909015,11,2024,333,341,910.0,6972.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26
532,Adilabad,532009,Ichoda,1909016,11,2024,478,478,980.0,9282.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,23
532,Adilabad,532009,Ichoda,1909017,11,2024,597,598,1042.0,12204.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,52
532,Adilabad,532009,Ichoda,1909018,11,2024,639,640,805.0,16230.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,35
532,Adilabad,532009,Ichoda,1909020,11,2024,636,677,1190.0,17436.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,26
532,Adilabad,532009,Ichoda,1909021,11,2024,422,422,1225.0,8526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
532,Adilabad,532009,Ichoda,1909022,11,2024,604,604,1295.0,12192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
532,Adilabad,532009,Ichoda,1909024,11,2024,125,125,350.0,2562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532010,Bajarhathnoor,1910001,11,2024,246,246,350.0,4368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151
532,Adilabad,532010,Bajarhathnoor,1910002,11,2024,315,315,385.0,5838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162
532,Adilabad,532010,Bajarhathnoor,1910003,11,2024,479,479,3220.0,7578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
532,Adilabad,532010,Bajarhathnoor,1910004,11,2024,299,302,420.0,5584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
532,Adilabad,532010,Bajarhathnoor,1910005,11,2024,262,263,560.0,4386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
532,Adilabad,532010,Bajarhathnoor,1910006,11,2024,290,290,700.0,4896.0,0.0,0.0,20.0,0.0,0.0,270.0,0.0,31
532,Adilabad,532010,Bajarhathnoor,1910007,11,2024,577,577,1610.0,11784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
532,Adilabad,532010,Bajarhathnoor,1910008,11,2024,468,468,700.0,7662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
532,Adilabad,532010,Bajarhathnoor,1910009,11,2024,426,426,1575.0,7722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
532,Adilabad,532010,Bajarhathnoor,1910010,11,2024,201,201,595.0,3966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532010,Bajarhathnoor,1910011,11,2024,220,220,420.0,4290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
532,Adilabad,532010,Bajarhathnoor,1910012,11,2024,289,289,455.0,5754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
532,Adilabad,532010,Bajarhathnoor,1910013,11,2024,483,483,1015.0,8472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
532,Adilabad,532010,Bajarhathnoor,1910014,11,2024,305,307,490.0,5520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
532,Adilabad,532010,Bajarhathnoor,1910015,11,2024,208,208,875.0,4176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
532,Adilabad,532010,Bajarhathnoor,1910016,11,2024,472,472,700.0,10530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
532,Adilabad,532010,Bajarhathnoor,1910017,11,2024,285,285,2760.0,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
532,Adilabad,532010,Bajarhathnoor,1910018,11,2024,126,126,105.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
532,Adilabad,532010,Bajarhathnoor,1910019,11,2024,263,263,595.0,5940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
532,Adilabad,532010,Bajarhathnoor,1910020,11,2024,272,272,455.0,5022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
532,Adilabad,532010,Bajarhathnoor,1910030,11,2024,195,195,105.0,4488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
532,Adilabad,532011,Boath,1911001,11,2024,513,528,2415.0,8886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275
532,Adilabad,532011,Boath,1911002,11,2024,690,764,2450.0,11232.0,0.0,0.0,70.0,0.0,0.0,945.0,0.0,460
532,Adilabad,532011,Boath,1911003,11,2024,408,420,945.0,7107.0,0.0,0.0,27.0,0.0,0.0,364.5,0.0,281
532,Adilabad,532011,Boath,1911004,11,2024,428,428,1015.0,7500.0,0.0,0.0,29.0,0.0,0.0,391.5,0.0,292
532,Adilabad,532011,Boath,1911005,11,2024,969,976,3255.0,16418.0,20.0,0.0,62.0,0.0,0.0,837.0,0.0,572
532,Adilabad,532011,Boath,1911006,11,2024,420,420,945.0,6776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
532,Adilabad,532011,Boath,1911007,11,2024,127,127,350.0,2466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
532,Adilabad,532011,Boath,1911008,11,2024,211,211,910.0,3804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
532,Adilabad,532011,Boath,1911009,11,2024,616,616,1715.0,11068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
532,Adilabad,532011,Boath,1911010,11,2024,574,574,1225.0,11514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
532,Adilabad,532011,Boath,1911011,11,2024,143,143,560.0,2622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
532,Adilabad,532011,Boath,1911012,11,2024,536,537,1330.0,9156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
532,Adilabad,532011,Boath,1911013,11,2024,576,576,1715.0,9635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
532,Adilabad,532011,Boath,1911014,11,2024,627,627,1120.0,10392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
532,Adilabad,532011,Boath,1911015,11,2024,390,390,1295.0,5868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
532,Adilabad,532011,Boath,1911016,11,2024,355,355,1505.0,7158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
532,Adilabad,532011,Boath,1911017,11,2024,710,710,875.0,13212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299
532,Adilabad,532011,Boath,1911018,11,2024,844,851,1120.0,17952.0,0.0,0.0,5.0,0.0,0.0,67.5,0.0,478
532,Adilabad,532011,Boath,1911019,11,2024,651,651,1085.0,11622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
532,Adilabad,532011,Boath,1911020,11,2024,458,458,1015.0,7944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144
532,Adilabad,532011,Boath,1911021,11,2024,370,370,840.0,7554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
532,Adilabad,532011,Boath,1911022,11,2024,363,382,770.0,6972.0,0.0,0.0,18.0,0.0,0.0,243.0,0.0,218
532,Adilabad,532011,Boath,1911023,11,2024,320,321,945.0,6066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
